"RT- 472178 - University of Washington, Seattle",,,,,,,,,,,,,,,,,,,
Report Date 2022-02-14,,,,,,,,,,,,,,,,,,,
"Data refreshed nightly, Monday - Saturday. Last refresh at 2022-02-14 01:45 AM",,,,,,,,,,,,,,,,,,,
Year/Quarter: Autumn 2014 - Autumn 2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Academic_Year,Term,Course_Number,Course_Title,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA,
2016-17,20164 (Autumn 2016),ACCTG 471 A,FRAUD EXAMINATION,33,3,6,10,12,2,,,,,,,,,3.2,
2016-17,20164 (Autumn 2016),ACCTG 500 B,FINANCIAL ACCTG,66,11,19,23,11,2,,,,,,,,,3.4,
2016-17,20164 (Autumn 2016),ACCTG 500 D,FINANCIAL ACCTG,65,13,14,26,10,1,,,,,,,,1,3.4,
2016-17,20164 (Autumn 2016),ACCTG 506 A,INTEN ACCT PRIN 1,49,5,13,6,4,11,,1,1,,,1,1,6,3.1,
2016-17,20164 (Autumn 2016),ACCTG 521 A,CASES INFO QUALITY,40,5,26,7,2,,,,,,,,,,3.5,
2016-17,20164 (Autumn 2016),ACCTG 523 A,ADV FIN ANALYSIS,40,7,17,15,1,,,,,,,,,,3.5,
2016-17,20164 (Autumn 2016),ACCTG 527 A,CMU IN PROF ACCTG,21,3,18,,,,,,,,,,,,3.7,
2016-17,20164 (Autumn 2016),ACCTG 527 B,CMU IN PROF ACCTG,19,,18,1,,,,,,,,,,,3.6,
2016-17,20164 (Autumn 2016),ACCTG 530 A,TAX ISSUES-PROPERTY,46,10,26,9,,,,,,,,,1,,3.5,
2016-17,20164 (Autumn 2016),ACCTG 533 A,TAX PROCEDURE,47,6,26,11,3,,,,1,,,,,,3.5,
2016-17,20164 (Autumn 2016),ACCTG 534 A,CORPORATE TAXATION,47,6,21,16,3,,,,,,,,1,,3.4,
2016-17,20164 (Autumn 2016),ACCTG 539 A,TAX RESEARCH,46,10,25,9,1,,,,,,,,1,,3.5,
2016-17,20164 (Autumn 2016),ACCTG 579 A,SPEC TOPICS ACCTNG,40,5,19,13,3,,,,,,,,,,3.5,
2016-17,20164 (Autumn 2016),AES 150 A,AMER ETHNIC HISTORY,173,30,56,27,27,17,7,4,3,1,,1,,,3.2,
2016-17,20164 (Autumn 2016),AES 150 B,AMER ETHNIC HISTORY,21,2,5,4,2,4,2,,2,,,,,,3,
2016-17,20164 (Autumn 2016),AFRAM 101 A,INTRO AF-AM STUDIES,117,51,44,9,8,2,1,1,,1,,,,,3.6,
2016-17,20164 (Autumn 2016),AFRAM 101 B,INTRO AF-AM STUDIES,19,14,3,2,,,,,,,,,,,3.8,
2016-17,20164 (Autumn 2016),AFRAM 246 A,AFRAM POLITICS,23,,2,1,2,6,5,3,3,1,,,,,2.4,
2016-17,20164 (Autumn 2016),AFRAM 318 A,BLACK LIT GENRES,15,2,2,2,3,1,1,1,1,,,,1,1,2.8,
2016-17,20164 (Autumn 2016),AFRAM 334 A,CVL RTS & BLK POWER,31,11,15,3,2,,,,,,,,,,3.6,
2016-17,20164 (Autumn 2016),AFRAM 340 A,HARLEM RENAISSANCE,43,4,21,2,3,9,2,,,,1,,,1,3.2,
2016-17,20164 (Autumn 2016),AIS 102 A,SURV AM INDN STDYS,146,24,32,23,15,21,9,6,7,2,2,1,2,2,3,
2016-17,20164 (Autumn 2016),AIS 270 A,NAT PEOPLE PAC NW,79,28,24,15,4,4,3,1,,,,,,,3.5,
2016-17,20164 (Autumn 2016),AIS 360 A,INDIANS IN CINEMA,66,20,25,11,1,1,,1,1,,,1,2,3,3.4,
2016-17,20164 (Autumn 2016),AIS 378 A,NW CONTMP AM IND LIT,27,13,7,2,2,,,2,,,,,1,,3.4,
2016-17,20164 (Autumn 2016),AMATH 301 A,BEG SCI COMPUTING,131,51,33,22,9,4,2,2,1,,,,3,4,3.4,
2016-17,20164 (Autumn 2016),AMATH 301 B,BEG SCI COMPUTING,137,47,38,19,11,2,3,2,2,,2,,2,9,3.4,
2016-17,20164 (Autumn 2016),AMATH 301 C,BEG SCI COMPUTING,139,61,46,12,5,5,1,,,2,,,2,5,3.6,
