"RT- 472178 - University of Washington, Seattle",,,,,,,,,,,,,,,,,,,
Report Date 2022-02-14,,,,,,,,,,,,,,,,,,,
"Data refreshed nightly, Monday - Saturday. Last refresh at 2022-02-14 01:45 AM",,,,,,,,,,,,,,,,,,,
Year/Quarter: Autumn 2014 - Autumn 2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Academic_Year,Term,Course_Number,Course_Title,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA,
2017-18,20181 (Winter 2018),MUHST 500 A,SEM METH MUS RESRCH,17,11,5,,,,,,,,,,,1,3.8,
2017-18,20181 (Winter 2018),MUSAP 218 A,GUITAR TECHNIQUES,19,4,8,2,2,1,,,,,,,,2,3.5,
2017-18,20181 (Winter 2018),MUSEN 210 A,CAMPUS PHL ORCHSTRA,46,45,,,,,,,,,,,,1,4,
2017-18,20181 (Winter 2018),MUSEN 210 B,CAMPUS PHL ORCHSTRA,41,40,,,,,,,,,,,,1,4,
2017-18,20181 (Winter 2018),MUSEN 300 A,UW SYMPHONY,64,64,,,,,,,,,,,,,4,
2017-18,20181 (Winter 2018),MUSEN 301 A,WIND ENSEMBLE,30,30,,,,,,,,,,,,,4,
2017-18,20181 (Winter 2018),MUSEN 302 A,SYMPHONIC BAND,45,45,,,,,,,,,,,,,4,
2017-18,20181 (Winter 2018),MUSEN 309 A,CONCERT BAND,69,66,,,,,,,,,,,,3,4,
2017-18,20181 (Winter 2018),MUSEN 309 B,CONCERT BAND,53,52,,,,,,,,,,,,1,4,
2017-18,20181 (Winter 2018),MUSEN 351 A,CHAMBER SINGERS,16,15,,,1,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),MUSEN 500 A,UW SYMPHONY,15,15,,,,,,,,,,,,,4,
2017-18,20181 (Winter 2018),MUSEUM 542 A,PRESRV COLLECTNS II,21,1,19,1,,,,,,,,,,,3.6,
2017-18,20181 (Winter 2018),MUSEUM 560 A,ADMIN & LEADERSHIP,21,3,18,,,,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),MUSEUM 566 A,GRANT WRITING,29,25,4,,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),MUSEUM 574 A,MUSEUM EVALUATION,31,4,26,,,,,,,,,,,1,3.7,
2017-18,20181 (Winter 2018),MUSIC 116 A,ELEM MUSIC THEORY,224,100,64,14,8,11,3,4,5,2,5,1,2,5,3.4,
2017-18,20181 (Winter 2018),MUSIC 120 A,SURVEY OF MUSIC,201,124,58,4,5,4,1,2,3,,,,,,3.7,
2017-18,20181 (Winter 2018),MUSIC 131 B,HISTORY OF JAZZ,113,71,6,9,5,3,7,2,,1,1,2,1,5,3.5,
2017-18,20181 (Winter 2018),MUSIC 160 A,AMERICAN FOLK MUSIC,97,63,12,5,2,,3,2,1,1,2,1,1,4,3.5,
2017-18,20181 (Winter 2018),MUSIC 162 A,AMER POP SONG,222,158,32,11,5,9,,4,1,1,1,,,,3.7,
2017-18,20181 (Winter 2018),MUSIC 185 A,THE CONCERT SEASON,150,102,31,5,,4,1,,,2,1,1,1,2,3.7,
2017-18,20181 (Winter 2018),MUSIC 200 A,MUSIC CHILD FAMILY,30,11,14,4,,,1,,,,,,,,3.6,
2017-18,20181 (Winter 2018),MUSIC 201 A,1ST YEAR THEORY I,44,17,22,2,,,1,,,,,,1,1,3.6,
2017-18,20181 (Winter 2018),MUSIC 204 A,1ST YR EAR TRN I,15,7,3,3,1,,,1,,,,,,,3.6,
2017-18,20181 (Winter 2018),MUSIC 204 D,1ST YR EAR TRN I,18,9,6,2,1,,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),MUSIC 251 A,MUS OF THE AMERICAS,58,39,5,1,3,2,1,1,,,,1,2,3,3.5,
2017-18,20181 (Winter 2018),MUSIC 301 A,2ND YR THEORY I,31,1,13,6,3,6,,1,,,,,,1,3.2,
2017-18,20181 (Winter 2018),MUSIC 304 C,2ND YR EAR TRN I,16,1,11,1,2,,,1,,,,,,,3.4,
2017-18,20181 (Winter 2018),MUSIC 388 A,JAZZ PEDAGOGY,16,6,2,2,2,,2,1,,,1,,,,3.2,
2017-18,20181 (Winter 2018),MUSIC 599 B,ADV SELECTED TOPICS,16,10,5,,,,,,,,,,,1,3.9,
2017-18,20181 (Winter 2018),N SCI 102 A,HIST US SEAPWR I,16,6,6,2,2,,,,,,,,,,3.6,
2017-18,20181 (Winter 2018),N SCI 402 A,NVL LDRSHP & ETHICS,20,5,5,8,2,,,,,,,,,,3.5,
2017-18,20181 (Winter 2018),NBIO 301 A,INTRO CELL NEURO,58,11,22,19,5,1,,,,,,,,,3.5,
2017-18,20181 (Winter 2018),NBIO 402 A,NEURO DISEASE,58,11,21,7,10,9,,,,,,,,,3.3,
2017-18,20181 (Winter 2018),NBIO 403 A,BEHAVIORAL NEURO,58,50,4,3,,1,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),NCLIN 505 A,DIAGNOSTIC MGMT,16,7,9,,,,,,,,,,,,3.8,
2017-18,20181 (Winter 2018),NCLIN 505 B,DIAGNOSTIC MGMT,16,10,6,,,,,,,,,,,,3.8,
2017-18,20181 (Winter 2018),NEAR E 101 A,NEAR EAST GATEWAY,197,190,6,1,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),NEAR E 305 A,BIBLICAL PROPHETS,35,31,1,,,,,,,1,,,1,1,3.7,
2017-18,20181 (Winter 2018),NEURO 502 A,INTRO NEUROBIOLOGY,15,7,6,2,,,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),NMETH 403 A,INTRO RESEARCH NURS,68,34,32,2,,,,,,,,,,,3.8,
2017-18,20181 (Winter 2018),NMETH 403 B,INTRO RESEARCH NURS,27,19,7,1,,,,,,,,,,,3.8,
2017-18,20181 (Winter 2018),NMETH 524 A,HEALTH SYS & EHR,21,13,6,1,1,,,,,,,,,,3.8,
2017-18,20181 (Winter 2018),NMETH 528 A,COMPUTING CONCEPTS,20,18,2,,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),NMETH 535 A,NURSING INQUIRY,39,5,30,4,,,,,,,,,,,3.6,
2017-18,20181 (Winter 2018),NMETH 535 B,NURSING INQUIRY,67,13,49,4,1,,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),NMETH 579 A,RES DESIGN METHODS,15,8,7,,,,,,,,,,,,3.8,
2017-18,20181 (Winter 2018),NORW 102 B,1ST YEAR NORWEGIAN 2,16,3,5,4,1,1,1,,1,,,,,,3.3,
2017-18,20181 (Winter 2018),NSG 432 A,INFANT RESILIENCE,57,35,14,1,2,1,,,,,,,2,2,3.6,
2017-18,20181 (Winter 2018),NSG 527 A,ADV TOPICS PALLCARE,15,14,1,,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),NSG 551 A,HEALTH POLICY,39,33,5,1,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),NSG 551 B,HEALTH POLICY,65,57,7,1,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),NSG 552 A,SOC DETER LTH & EQ,39,36,3,,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),NSG 552 B,SOC DETER LTH & EQ,67,61,6,,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),NSG 562 A,MGMT ADULT I,56,4,45,7,,,,,,,,,,,3.6,
2017-18,20181 (Winter 2018),NURS 201 A,LIFESPAN GROWTH,148,67,47,13,9,5,2,1,1,,1,,,2,3.6,
2017-18,20181 (Winter 2018),NURS 308 A,HUMAN RESPONSES II,96,26,56,11,1,1,1,,,,,,,,3.6,
2017-18,20181 (Winter 2018),NURS 310 A,NURS PHARMTHERAP II,96,35,52,7,1,1,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),NURS 310 B,NURS PHARMTHERAP II,48,11,30,5,2,,,,,,,,,,3.6,
2017-18,20181 (Winter 2018),NURS 401 A,CARE IN ILLNESS I,96,20,51,17,4,3,1,,,,,,,,3.6,
2017-18,20181 (Winter 2018),NURS 401 B,CARE IN ILLNESS I,48,15,20,9,3,1,,,,,,,,,3.6,
2017-18,20181 (Winter 2018),NURS 410 A,LEGAL ETHIC ISSUES,96,72,24,,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),NURS 415 A,CHILDBEAR/CHILDREAR,24,7,13,4,,,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),NURS 415 B,CHILDBEAR/CHILDREAR,48,24,18,5,1,,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),NURS 507 A,MENTAL HLTH & AGING,23,22,,,,,,,,,,,,1,4,
2017-18,20181 (Winter 2018),NURS 518 A,CHILD MGT I: ACUTE,19,19,,,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),NURS 518 B,CHILD MGT I: ACUTE,32,32,,,,,,,,,,,,,4,
2017-18,20181 (Winter 2018),NURS 525 A,MNG CLIN EFFECT,22,13,7,1,1,,,,,,,,,,3.8,
2017-18,20181 (Winter 2018),NURS 539 A,MGMT ACUTE ILLNESS,16,13,3,,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),NURS 541 A,WOMEN'S HEALTHCARE,56,37,18,1,,,,,,,,,,,3.8,
2017-18,20181 (Winter 2018),NURS 546 A,INTERPERSONAL THERAP,18,8,10,,,,,,,,,,,,3.8,
2017-18,20181 (Winter 2018),NURS 547 A,NEURO BASIS PMH,19,16,3,,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),NUTR 200 A,NUTRITION,243,126,79,10,5,4,3,5,5,,,,3,3,3.6,
2017-18,20181 (Winter 2018),NUTR 200 B,NUTRITION,18,2,7,6,1,1,,1,,,,,,,3.4,
2017-18,20181 (Winter 2018),NUTR 241 A,CULINARY NUTR SCI,85,64,14,2,1,,,,,,1,,1,2,3.8,
2017-18,20181 (Winter 2018),NUTR 303 A,NEIGHBORHOOD NUTR,173,66,64,26,7,7,1,,1,,,,,1,3.6,
2017-18,20181 (Winter 2018),NUTR 406 A,SPORTS NUTRITION,135,9,92,18,4,3,3,1,2,1,,,,2,3.5,
2017-18,20181 (Winter 2018),NUTR 446 A,FOOD SAFETY,67,,20,19,12,10,3,1,,1,,,,1,3.1,
2017-18,20181 (Winter 2018),NUTR 521 A,NUTR-METAB II,18,3,14,1,,,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),NUTR 531 A,PUBL HLTH NUTR,18,17,1,,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),OCEAN 102 A,THE CHANGING OCEANS,213,11,59,55,43,18,4,4,4,1,4,,3,7,3.1,
2017-18,20181 (Winter 2018),OCEAN 121 A,DEEP SEA VENTS,59,18,24,12,,1,1,,,,,,1,2,3.5,
2017-18,20181 (Winter 2018),OCEAN 295 A,MARINE ORG CHEM,45,4,6,8,10,2,8,2,5,,,,,,2.9,
2017-18,20181 (Winter 2018),OCEAN 320 A,COASTAL OCEAN,43,4,9,8,6,9,2,,,1,,2,1,1,2.9,
2017-18,20181 (Winter 2018),OCEAN 351 A,FND OCEAN SENSORS,38,23,4,2,,2,2,1,,1,,,2,1,3.4,
2017-18,20181 (Winter 2018),OCEAN 444 A,SNR THESIS RESEARCH,21,7,8,4,,2,,,,,,,,,3.6,
2017-18,20181 (Winter 2018),OCEAN 450 A,CLIMATIC EXTREMES,23,1,7,3,4,1,2,3,1,,,,,1,3,
2017-18,20181 (Winter 2018),OCEAN 454 A,HYDROTHERMAL,32,8,20,2,1,,,,,,,,1,,3.5,
2017-18,20181 (Winter 2018),OPMGT 301 A,PRIN OPER MGT,79,2,25,16,16,10,6,1,1,,,,,2,3.1,
2017-18,20181 (Winter 2018),OPMGT 301 B,PRIN OPER MGT,80,17,18,20,22,2,,,,,,,,1,3.4,
2017-18,20181 (Winter 2018),OPMGT 301 C,PRIN OPER MGT,80,6,24,22,14,13,1,,,,,,,,3.2,
2017-18,20181 (Winter 2018),OPMGT 443 A,INV SUP CHN MGMT,31,4,11,12,4,,,,,,,,,,3.4,
2017-18,20181 (Winter 2018),OPMGT 450 A,INTRO PROJECT MGMT,43,7,21,7,5,1,,1,,,,,,1,3.4,
2017-18,20181 (Winter 2018),OPMGT 560 A,SUPPLY CHAIN MGT,27,6,20,1,,,,,,,,,,,3.6,
2017-18,20181 (Winter 2018),OPMGT 560 D,SUPPLY CHAIN MGT,20,5,11,4,,,,,,,,,,,3.6,
2017-18,20181 (Winter 2018),ORALM 570 A,ORL MED AND THERAPY,16,6,6,4,,,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),ORTHO 575 A,INTERCEPTIVE ORTHO,15,2,12,1,,,,,,,,,,,3.6,
2017-18,20181 (Winter 2018),ORTHO 582 A,ADULT ORTHO SEM,23,13,10,,,,,,,,,,,,3.8,
2017-18,20181 (Winter 2018),ORTHO 660 A,P-CLINICAL ORTHO,15,4,10,1,,,,,,,,,,,3.6,
2017-18,20181 (Winter 2018),ORTHO 682 A,ADULT ORTHO CLINIC,15,5,10,,,,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),PA EX 503 A,STRATEG FIN MGMT I,39,16,20,1,2,,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),PA EX 504 A,EXECUTIVE ECON,39,28,8,1,1,1,,,,,,,,,3.8,
2017-18,20181 (Winter 2018),PA EX 512 A,STRAT POLICY-MKG,33,2,26,4,1,,,,,,,,,,3.6,
2017-18,20181 (Winter 2018),PA EX 513 A,LEADING FOR LEGACY,32,4,23,5,,,,,,,,,,,3.6,
2017-18,20181 (Winter 2018),PCEUT 532 A,CLINICAL PHARMACO,107,17,12,16,11,15,9,12,10,4,,,1,,2.8,
2017-18,20181 (Winter 2018),PERIO 582 A,TREATMNT PLANN SMNR,25,4,5,16,,,,,,,,,,,3.4,
2017-18,20181 (Winter 2018),PERIO 585 A,PERIO THERAPY SMNR,25,,1,24,,,,,,,,,,,3.2,
2017-18,20181 (Winter 2018),PERIO 586 A,LONGITUDINAL PERIO,17,2,4,10,1,,,,,,,,,,3.4,
2017-18,20181 (Winter 2018),PHARBE 505 A,PATHOPHYS PHARMA,17,5,6,3,,2,1,,,,,,,,3.5,
2017-18,20181 (Winter 2018),PHARM 509 A,EBM3 LIT EVAL,104,16,81,7,,,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),PHARM 514 A,PHARM FOR ADV PRAC,70,12,50,8,,,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),PHARM 514 B,PHARM FOR ADV PRAC,37,1,30,5,1,,,,,,,,,,3.6,
2017-18,20181 (Winter 2018),PHARM 541 A,PHARM HEALTH CR SOC,93,20,67,6,,,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),PHARM 543 A,PHARM LAWS & ETHICS,105,35,41,18,8,2,,,1,,,,,,3.6,
2017-18,20181 (Winter 2018),PHARM 561 A,P'THERAPEUTICS V,91,16,42,17,8,7,,,1,,,,,,3.4,
2017-18,20181 (Winter 2018),PHARM 565 A,APP PHARMACOTHER III,91,78,11,2,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),PHARM 585 A,PHARM PRACT II,104,17,58,20,7,1,,,,,,,1,,3.5,
2017-18,20181 (Winter 2018),PHARM 593 A,PHARMACY PRACTICE V,103,85,18,,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),PHCOL 402 A,GEN PHCOL II,103,31,39,24,4,4,1,,,,,,,,3.5,
2017-18,20181 (Winter 2018),PHCOL 510 A,DRUG DISC/EMRG THERA,16,13,3,,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),PHG 302 A,FORENSIC GENETICS,17,17,,,,,,,,,,,,,4,
2017-18,20181 (Winter 2018),PHIL 100 A,INTRO TO PHILOSOPHY,98,11,36,17,6,10,2,2,6,,,,4,4,3.1,
2017-18,20181 (Winter 2018),PHIL 114 A,PHIL ISSUES IN LAW,96,26,27,23,7,3,3,1,,,,,4,2,3.3,
2017-18,20181 (Winter 2018),PHIL 115 A,PRACTICAL REASONING,93,28,18,12,16,8,4,3,1,,,,1,2,3.3,
2017-18,20181 (Winter 2018),PHIL 120 A,INTRO TO LOGIC,86,33,21,14,6,3,1,,1,,1,1,2,3,3.4,
2017-18,20181 (Winter 2018),PHIL 240 A,INTRO TO ETHICS,95,22,24,18,12,5,4,,2,1,1,,5,1,3.1,
2017-18,20181 (Winter 2018),PHIL 243 A,ENVIRONMENTAL ETHICS,49,6,16,7,6,4,3,2,2,1,,,2,,3,
2017-18,20181 (Winter 2018),PHIL 320 A,ANCIENT PHILOSOPHY,32,4,11,8,2,3,,,,,,,2,2,3.2,
2017-18,20181 (Winter 2018),PHIL 322 A,MODERN PHILOSOPHY,36,11,9,4,4,4,1,,1,,,,1,1,3.3,
2017-18,20181 (Winter 2018),PHIL 338 A,PHIL HUMAN RIGHTS,35,7,13,6,6,2,,,,,,,,1,3.4,
2017-18,20181 (Winter 2018),PHIL 345 A,MORL ISS LIFE DEATH,34,3,25,4,1,,1,,,,,,,,3.5,
2017-18,20181 (Winter 2018),PHIL 418 A,JEWISH PHILOSOPHY,18,2,8,2,,2,,,,1,,,2,1,2.9,
2017-18,20181 (Winter 2018),PHIL 431 A,PHILOS OF PLATO,24,3,6,4,1,5,,2,,,,1,,2,3,
2017-18,20181 (Winter 2018),PHIL 441 A,PUB HEALTH ETHICS,29,8,6,3,1,1,1,6,,,,,,3,3.2,
2017-18,20181 (Winter 2018),PHIL 453 A,PHIL OF LANGUAGE,26,8,5,4,5,2,,1,,,,,1,,3.2,
2017-18,20181 (Winter 2018),PHIL 464 A,PHIL COG SCIENCE,31,9,11,4,3,1,,,,,,,2,1,3.3,
2017-18,20181 (Winter 2018),PHIL 470 A,INTERMEDIATE LOGIC,26,8,2,2,,3,1,,2,,1,1,3,3,2.6,
2017-18,20181 (Winter 2018),PHYS 110 A,LIBERAL ARTS PHYS,40,8,11,5,6,4,1,1,,1,,,2,1,3.1,
2017-18,20181 (Winter 2018),PHYS 114 A,GENERAL PHYSICS,166,17,21,22,25,39,14,12,6,,2,,1,7,2.9,
2017-18,20181 (Winter 2018),PHYS 114 B,GENERAL PHYSICS,95,12,12,16,14,14,8,5,5,1,,1,,7,2.9,
2017-18,20181 (Winter 2018),PHYS 115 A,GENERAL PHYSICS,185,17,25,31,27,40,15,19,5,3,1,,2,,2.8,
2017-18,20181 (Winter 2018),PHYS 115 B,GENERAL PHYSICS,182,20,33,35,27,34,17,10,4,,,,,2,3,
2017-18,20181 (Winter 2018),PHYS 115 C,GENERAL PHYSICS,112,6,8,16,18,16,16,11,11,3,1,1,1,4,2.6,
2017-18,20181 (Winter 2018),PHYS 116 A,GENERAL PHYSICS,115,8,27,13,26,19,10,6,2,1,1,,,2,3,
2017-18,20181 (Winter 2018),PHYS 121 A,MECHANICS,149,18,33,21,25,20,12,12,5,1,,,1,1,3,
2017-18,20181 (Winter 2018),PHYS 121 B,MECHANICS,175,22,40,30,18,34,12,9,4,2,1,,2,1,3,
2017-18,20181 (Winter 2018),PHYS 121 C,MECHANICS,152,10,31,28,17,40,7,5,3,2,,,3,6,2.9,
2017-18,20181 (Winter 2018),PHYS 122 A,ELECTROMAGNETISM,190,17,30,36,23,43,15,13,6,1,1,,1,4,2.9,
2017-18,20181 (Winter 2018),PHYS 122 B,ELECTROMAGNETISM,53,10,13,11,4,8,3,1,1,1,,,,1,3.2,
2017-18,20181 (Winter 2018),PHYS 122 C,ELECTROMAGNETISM,203,21,40,39,41,36,11,6,6,,,,,3,3.1,
2017-18,20181 (Winter 2018),PHYS 122 D,ELECTROMAGNETISM,120,10,17,17,24,21,10,8,6,3,,,1,3,2.9,
2017-18,20181 (Winter 2018),PHYS 123 A,WAVES,201,24,48,36,38,32,13,3,2,,2,,1,2,3.1,
2017-18,20181 (Winter 2018),PHYS 123 B,WAVES,198,16,36,36,32,43,14,9,5,,1,1,3,2,2.9,
2017-18,20181 (Winter 2018),PHYS 217 A,ENERGY FUTURE,61,45,4,2,1,3,,,1,,2,,3,,3.5,
2017-18,20181 (Winter 2018),PHYS 225 A,INTRO MOD MECHANICS,193,22,37,35,39,27,12,8,3,2,,,2,6,3,
2017-18,20181 (Winter 2018),PHYS 228 A,ELEM MATH PHYS,143,17,38,12,27,20,7,3,4,,2,2,5,6,3,
2017-18,20181 (Winter 2018),PHYS 322 A,ELECTROMAGNETISM,169,32,10,17,25,28,24,12,8,4,2,,3,4,2.8,
2017-18,20181 (Winter 2018),PHYS 325 A,QUANTUM MECHANICS,77,15,17,23,9,1,4,2,,,1,,3,2,3.2,
2017-18,20181 (Winter 2018),PHYS 334 A,ELECT CIRCUITS LAB,162,27,44,35,23,19,8,,,,,,3,3,3.2,
2017-18,20181 (Winter 2018),PHYS 423 A,CONTEMP COND MATTER,16,3,5,5,2,1,,,,,,,,,3.4,
2017-18,20181 (Winter 2018),PHYS 429 A,BIOPHYSICS,41,3,7,4,3,10,5,1,,3,1,1,2,1,2.6,
2017-18,20181 (Winter 2018),PHYS 431 A,MODERN PHYSICS LAB,15,1,3,2,3,3,1,1,,,,,,1,3.1,
2017-18,20181 (Winter 2018),PHYS 431 B,MODERN PHYSICS LAB,18,2,3,7,3,1,,,,,,,1,1,3.1,
2017-18,20181 (Winter 2018),PHYS 495 A,SEM CURRENT PROBS,20,5,9,2,,2,,1,,,,,,1,3.4,
2017-18,20181 (Winter 2018),PHYS 495 B,SEM CURRENT PROBS,29,10,9,3,1,,,,,,,,3,3,3.2,
2017-18,20181 (Winter 2018),PHYS 495 C,SEM CURRENT PROBS,26,2,15,4,2,,,,,,,,2,1,3.2,
2017-18,20181 (Winter 2018),PHYS 514 A,ELECTRMAG & RELTVTY,30,4,8,16,2,,,,,,,,,,3.4,
2017-18,20181 (Winter 2018),PHYS 518 A,QUANTUM MECHANICS,30,7,11,8,4,,,,,,,,,,3.5,
2017-18,20181 (Winter 2018),PHYS 525 A,STATISTICAL MECH,27,8,13,5,,,,,,,,,,1,3.7,
2017-18,20181 (Winter 2018),PHYS 557 A,HIGH ENERGY PHYSICS,15,6,6,2,1,,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),POL S 201 A,INTRO POL THEORY,144,12,35,25,16,27,4,4,3,1,,2,10,5,2.8,
2017-18,20181 (Winter 2018),POL S 202 A,INTRO TO AMER POL,193,33,54,36,20,25,8,4,2,,,1,3,7,3.2,
2017-18,20181 (Winter 2018),POL S 203 A,INTRO INTERNATL REL,194,17,61,43,33,21,3,3,5,,1,,5,2,3.1,
2017-18,20181 (Winter 2018),POL S 204 A,INTRO TO COMPAR POL,100,16,46,11,7,8,4,1,1,2,1,,1,2,3.3,
2017-18,20181 (Winter 2018),POL S 246 A,AFRAM POLITICS,63,6,17,13,15,6,1,2,,1,,,2,,3.1,
2017-18,20181 (Winter 2018),POL S 249 A,INTRO LABOR STUDIES,76,11,26,18,5,4,4,2,1,1,1,1,,2,3.2,
2017-18,20181 (Winter 2018),POL S 310 A,MODERN POL THOUGHT,47,4,7,13,7,2,4,2,1,,,2,1,4,2.9,
2017-18,20181 (Winter 2018),POL S 321 A,AMER FOREIGN POLICY,103,2,26,30,9,20,4,4,2,1,,,1,4,3,
2017-18,20181 (Winter 2018),POL S 328 A,INTL ORGANIZATIONS,78,5,16,15,14,18,4,,1,,,1,2,2,3,
2017-18,20181 (Winter 2018),POL S 349 A,STRATEGY & WAR,98,6,37,22,12,11,6,1,1,,,,1,1,3.2,
2017-18,20181 (Winter 2018),POL S 355 A,AMERICAN PRESIDENCY,100,7,20,19,23,16,6,,7,,,,1,1,3,
2017-18,20181 (Winter 2018),POL S 360 A,AM CONST LAW,98,10,31,24,9,12,4,3,1,,,,2,2,3.2,
2017-18,20181 (Winter 2018),POL S 371 A,GLOBL CRIME & CORRUP,160,21,65,30,17,11,5,1,1,,,1,2,6,3.3,
2017-18,20181 (Winter 2018),POL S 402 A,HUMAN RIGHTS SEM,18,7,7,4,,,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),POL S 403 A,INTL REL ADV SEM,28,5,12,8,1,,1,,,,,,1,,3.4,
2017-18,20181 (Winter 2018),POL S 405 A,AM POLITICS ADV SEM,18,3,12,1,,,,,,,,,1,1,3.5,
2017-18,20181 (Winter 2018),POL S 413 A,CONTEMPORARY THEORY,17,3,2,1,5,3,1,,,,,,1,1,3,
2017-18,20181 (Winter 2018),POL S 437 A,POLITICS IN SCAND,21,10,8,2,,,,,,,,,,1,3.7,
2017-18,20181 (Winter 2018),POL S 475 A,PUBLIC CHOICE,26,7,14,3,1,,,,,,,,,1,3.7,
2017-18,20181 (Winter 2018),POL S 477 A,AFRICAN POL DVPT,24,7,11,1,1,2,1,,,,,,,1,3.5,
2017-18,20181 (Winter 2018),POL S 497 A,STATE INTERNSHIP,15,11,4,,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),PORT 103 A,ELEMENTARY PORT,16,8,7,1,,,,,,,,,,,3.7,
2017-18,20181 (Winter 2018),PORT 105 A,INTENSIVE PORT,19,12,7,,,,,,,,,,,,3.8,
2017-18,20181 (Winter 2018),PSYCAP 516 A,CHILD/ADL TREATMENT,26,25,1,,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),PSYCAP 522 A,EBP COMPLEX CASES,25,24,,,1,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),PSYCAP 528 A,MULTCULT COUNSELING,21,18,3,,,,,,,,,,,,3.9,
2017-18,20181 (Winter 2018),PSYCAP 560 A,APPLD PRACTICUM,21,21,,,,,,,,,,,,,4,
2017-18,20181 (Winter 2018),PSYCH 101 A,INTRO TO PSYCH,257,85,48,28,19,29,12,8,5,2,3,4,10,4,3.1,
2017-18,20181 (Winter 2018),PSYCH 101 B,INTRO TO PSYCH,370,133,85,42,34,27,15,8,10,3,4,,3,6,3.3,
2017-18,20181 (Winter 2018),PSYCH 101 C,INTRO TO PSYCH,368,39,66,46,40,45,17,28,22,13,9,11,24,8,2.6,
2017-18,20181 (Winter 2018),PSYCH 101 F,INTRO TO PSYCH,111,23,27,16,11,10,9,5,4,1,1,1,3,,3.1,
2017-18,20181 (Winter 2018),PSYCH 202 A,BIOPSYCH,301,52,50,30,49,38,19,19,15,8,4,4,11,2,2.8,
2017-18,20181 (Winter 2018),PSYCH 203 B,PERS & INDIV DIFFS,115,41,20,16,9,7,5,4,4,1,2,2,,4,3.3,
2017-18,20181 (Winter 2018),PSYCH 209 A,FDMNTLS PSYCH RSCH,191,57,43,30,19,15,9,6,2,1,,,3,6,3.3,
2017-18,20181 (Winter 2018),PSYCH 210 A,HUMAN SEXUALITY,697,315,152,68,67,48,19,8,6,2,2,,2,8,3.5,
2017-18,20181 (Winter 2018),PSYCH 257 A,PSYCH OF GENDER,99,38,14,17,10,6,2,2,5,1,,,2,2,3.3,
2017-18,20181 (Winter 2018),PSYCH 291 A,APPLIED ANIML BEHAV,21,10,4,4,1,1,1,,,,,,,,3.6,
2017-18,20181 (Winter 2018),PSYCH 305 A,ABNORMAL PSYCHOLOGY,101,24,24,6,14,13,7,7,2,,,1,1,2,3.1,
2017-18,20181 (Winter 2018),PSYCH 315 A,UNDRSTD STATS PSYCH,153,41,39,19,10,10,11,7,5,1,1,,7,2,3.1,
2017-18,20181 (Winter 2018),PSYCH 317 A,PSYCH PROB & STAT,71,7,13,14,9,8,9,8,,,2,,1,,2.9,
2017-18,20181 (Winter 2018),PSYCH 318 A,STAT INFERENCE,82,17,16,13,13,13,2,6,1,,1,,,,3.1,
2017-18,20181 (Winter 2018),PSYCH 322 A,INTRO DRUGS & BEHAV,185,111,35,5,10,6,8,,1,2,,2,2,3,3.6,
2017-18,20181 (Winter 2018),PSYCH 330 A,LAB ANIMAL BEHAVIOR,21,1,11,1,4,1,1,1,,,,,,1,3.3,
